"Outcome","EventTime","Arm","Estimate","Lower","Upper"
"HRIC distance to personal baseline",26,"Auto-FMT",1.60799977265374,1.4342146855598,1.78178485974768
"HRIC distance to personal baseline",27,"Control",1.98435404224398,1.89771488163662,2.07099320285134
"HRIC distance to personal baseline",27,"Auto-FMT",1.61274826230562,1.44164404023538,1.78385248437587
"HRIC distance to personal baseline",28,"Control",1.98145382301181,1.89831587833501,2.06459176768861
"HRIC distance to personal baseline",28,"Auto-FMT",1.61749675195751,1.44836544957885,1.78662805433617
"HRIC distance to personal baseline",29,"Control",1.97855360377964,1.89874636201515,2.05836084554413
"HRIC distance to personal baseline",29,"Auto-FMT",1.6222452416094,1.45435395416909,1.7901365290497
"HRIC distance to personal baseline",30,"Control",1.97565338454747,1.89898410693467,2.05232266216028
"HRIC distance to personal baseline",30,"Auto-FMT",1.62699373126128,1.45959326629047,1.79439419623209
"HRIC distance to personal baseline",31,"Control",1.97275316531531,1.89900450620937,2.04650182442124
"HRIC distance to personal baseline",31,"Auto-FMT",1.63174222091317,1.46407680627275,1.79940763555359
"HRIC distance to personal baseline",32,"Control",1.96985294608314,1.89878076018164,2.04092513198463
"HRIC distance to personal baseline",32,"Auto-FMT",1.63649071056505,1.46780813535152,1.80517328577858
"HRIC distance to personal baseline",33,"Control",1.96695272685097,1.89828431492561,2.03562113877632
"HRIC distance to personal baseline",33,"Auto-FMT",1.64123920021694,1.47080072036332,1.81167768007056
"HRIC distance to personal baseline",34,"Control",1.9640525076188,1.89748562183823,2.03061939339937
"HRIC distance to personal baseline",34,"Auto-FMT",1.64598768986882,1.47307706564643,1.81889831409122
"HRIC distance to personal baseline",35,"Control",1.96115228838663,1.89635526633055,2.02594931044271
"HRIC distance to personal baseline",35,"Auto-FMT",1.65073617952071,1.47466733831601,1.82680502072541
"HRIC distance to personal baseline",36,"Control",1.95825206915446,1.89486546054673,2.02163867776219
"HRIC distance to personal baseline",36,"Auto-FMT",1.6554846691726,1.47560767220696,1.83536166613823
"HRIC distance to personal baseline",37,"Control",1.95535184992229,1.89299181037065,2.01771188947393
"HRIC distance to personal baseline",37,"Auto-FMT",1.66023315882448,1.47593835273488,1.84452796491409
"HRIC distance to personal baseline",38,"Control",1.95245163069012,1.89071516485659,2.01418809652366
"HRIC distance to personal baseline",38,"Auto-FMT",1.66498164847637,1.47570206324368,1.85426123370905
"HRIC distance to personal baseline",39,"Control",1.94955141145796,1.88802326998604,2.01107955292987
"HRIC distance to personal baseline",39,"Auto-FMT",1.66973013812825,1.47494232654824,1.86451794970827
"HRIC distance to personal baseline",40,"Control",1.94665119222579,1.88491192213777,2.0083904623138
"HRIC distance to personal baseline",40,"Auto-FMT",1.67447862778014,1.47370221976758,1.8752550357927
"HRIC distance to personal baseline",41,"Control",1.94375097299362,1.88138538113678,2.00611656485045
"HRIC distance to personal baseline",41,"Auto-FMT",1.67922711743203,1.47202338964524,1.88643084521881
"HRIC distance to personal baseline",42,"Control",1.94085075376145,1.8774559517431,2.0042455557798
"HRIC distance to personal baseline",42,"Auto-FMT",1.68397560708391,1.46994535706519,1.89800585710263
"HRIC distance to personal baseline",43,"Control",1.93795053452928,1.87314282590694,2.00275824315162
"HRIC distance to personal baseline",43,"Auto-FMT",1.6887240967358,1.46750507549794,1.90994311797366
"HRIC distance to personal baseline",44,"Control",1.93505031529711,1.86847042667111,2.00163020392311
"HRIC distance to personal baseline",44,"Auto-FMT",1.69347258638768,1.464736696961,1.92220847581437
"HRIC distance to personal baseline",45,"Control",1.93215009606494,1.86346655844011,2.00083363368978
"HRIC distance to personal baseline",45,"Auto-FMT",1.69822107603957,1.46167149733308,1.93477065474606
"HRIC distance to personal baseline",46,"Control",1.92924987683277,1.85816064128678,2.00033911237877
"HRIC distance to personal baseline",46,"Auto-FMT",1.70296956569145,1.45833791692,1.94760121446291
"HRIC distance to personal baseline",47,"Control",1.92634965760061,1.85258222048228,2.00011709471893
"HRIC distance to personal baseline",47,"Auto-FMT",1.70771805534334,1.45476167907446,1.96067443161222
"HRIC distance to personal baseline",48,"Control",1.92344943836844,1.84675984033755,2.00013903639932
"HRIC distance to personal baseline",48,"Auto-FMT",1.71246654499523,1.45096595736769,1.97396713262277
"HRIC distance to personal baseline",49,"Control",1.92054921913627,1.84072028696309,2.00037815130945
"HRIC distance to personal baseline",49,"Auto-FMT",1.71721503464711,1.44697156907572,1.9874585002185
"HRIC distance to personal baseline",50,"Control",1.9176489999041,1.83448815168619,2.00080984812201
"HRIC distance to personal baseline",50,"Auto-FMT",1.721963524299,1.4427971789804,2.0011298696176
"HRIC distance to personal baseline",51,"Control",1.91474878067193,1.82808564410641,2.00141191723745
"HRIC distance to personal baseline",51,"Auto-FMT",1.72671201395088,1.4384595025081,2.01496452539367
"HRIC distance to personal baseline",52,"Control",1.91184856143976,1.82153258222753,2.002164540652
"HRIC distance to personal baseline",52,"Auto-FMT",1.73146050360277,1.43397350108396,2.02894750612158
"HRIC distance to personal baseline",53,"Control",1.90894834220759,1.81484649705355,2.00305018736164
"HRIC distance to personal baseline",53,"Auto-FMT",1.73620899325466,1.42935256542203,2.04306542108728
"HRIC distance to personal baseline",54,"Control",1.90604812297542,1.80804280311794,2.00405344283291
"HRIC distance to personal baseline",54,"Auto-FMT",1.74095748290654,1.42460868449442,2.05730628131866
"HRIC distance to personal baseline",55,"Control",1.90314790374326,1.80113500025562,2.0051608072309
"HRIC distance to personal baseline",55,"Auto-FMT",1.74570597255843,1.41975259931096,2.0716593458059
