"Taxon","AHC","CLR_pc0.01","CLR_pc0.5","CLR_pc1","DESeq2","LEfSe"
"AF468303.1.1428",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AF468306.1.1440",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AF472553.1.1817",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"AF472555.1.1812",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AF514341.1.1802",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AF530130.1.1397",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AF530524.1.1703",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF539773.1.1484",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AFNV02000017.17008.18531",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AFXB01000010.558617.560090",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AGAU01000387.3534.5025",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AHAL01010410.794.2002",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AHCG01000072.3865.5305",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJ133625.1.1270",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"AJ240999.1.1501",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AJ244703.1.1492",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AJ246273.1.1799",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJ294747.1.1534",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AJ402330.1.1758",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJ402338.1.1758",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AJ402339.1.1758",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"AJ402351.1.1758",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJ402355.1.1758",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJ536462.1.1456",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AJ564767.1.1831",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AJ567563.1.1463",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJ567590.1.1520",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJ567595.1.1519",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJ567609.1.1486",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJ581349.1.1511",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AJ890099.1.1469",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJKR01000002.555441.556954",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJUG01000001.1490901.1492402",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJXC01000443.5756.7214",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AJXC01002904.641.2162",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AJXC01004589.237.1590",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AJXC01007386.664.1844",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AM259746.1.1438",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AM259845.1.1375",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"AM259923.1.1491",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AM279185.8.1486",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AM396933.1.1523",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AM491003.1.1723",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AM491015.1.1801",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AM491017.1.1785",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AM491020.1.1784",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AM747314.1.1270",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AM747332.1.1244",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AM747335.1.1271",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"AM747363.1.1323",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
