diff_otu_direct,diff_otu_mode,depth_mu,depth_theta,covariate_eff_sd,confounder_eff_sd,depth_conf_factor,diff_otu_pct,transformation,mean_power,mean_fdp,sd_power,n_rep
balanced,rare,1000,7.75,0.5,0,0,0.05,ALR_nondiff_ref,0.033999999999999996,0.01999999999999999,0.0806789372084866,100
balanced,rare,1000,7.75,0.5,0,0,0.05,ALR_random_ref,0.022500000000000003,0.05833333333333331,0.07600338907914017,100
balanced,rare,1000,7.75,0.5,0,0,0.05,ALR_signal_ref,0.11500000000000002,0.2825835954264747,0.19598237397554624,100
balanced,rare,1000,7.75,0.5,0,0,0.05,CLR,0.05999999999999999,0.019999999999999993,0.10824588545146521,100
balanced,rare,1000,7.75,0.5,0,0,0.05,ILR,0.011999999999999997,0.21000000000000002,0.04773665131518843,100
balanced,rare,1000,7.75,0.5,0,0,0.05,RAHC_last_ref,0.0245,0.036666666666666674,0.066853903733772,100
balanced,rare,1000,7.75,0.5,0,0,0.05,RAHC_minvar_ref,0.024999999999999994,0.009999999999999993,0.07402565757761272,100
balanced,rare,1000,7.75,0.5,0,0,0.05,RAHC_nondiff_ref,0.024,0.009999999999999993,0.06531972647421812,100
balanced,rare,1000,7.75,0.5,0,0,0.05,RAHC_random_ref,0.008999999999999996,0.04666666666666668,0.044596960534198815,100
balanced,rare,1000,7.75,0.5,0,0,0.05,RAHC_signal_ref,0.0625,0.1827862137862138,0.1437897946674417,100
balanced,rare,1000,7.75,0.5,0,0,0.1,AHC,0.04700000000000001,0.029999999999999985,0.06583573068132106,100
balanced,rare,1000,7.75,0.5,0,0,0.1,ALR_last_ref,0.053444444444444406,0.09016666666666664,0.08685517212752722,100
balanced,rare,1000,7.75,0.5,0,0,0.1,ALR_minvar_ref,0.03666666666666666,0.04777777777777779,0.05359038316923535,100
balanced,rare,1000,7.75,0.5,0,0,0.1,ALR_nondiff_ref,0.03,0.009999999999999995,0.052223296786709394,100
balanced,rare,1000,7.75,0.5,0,0,0.1,ALR_random_ref,0.028222222222222215,0.020833333333333336,0.06882803872751778,100
balanced,rare,1000,7.75,0.5,0,0,0.1,ALR_signal_ref,0.1177777777777777,0.20060395269218798,0.16091458271561324,100
balanced,rare,1000,7.75,0.5,0,0,0.1,CLR,0.067,0.04666666666666668,0.07528397417562897,100
balanced,rare,1000,7.75,0.5,0,0,0.1,ILR,0.019999999999999997,0.35166666666666674,0.04264014327112211,100
balanced,rare,1000,7.75,0.5,0,0,0.1,RAHC_last_ref,0.040555555555555525,0.08349999999999999,0.06648638174450458,100
balanced,rare,1000,7.75,0.5,0,0,0.1,RAHC_minvar_ref,0.028333333333333335,0.04375000000000001,0.04992512163526047,100
balanced,rare,1000,7.75,0.5,0,0,0.1,RAHC_nondiff_ref,0.019999999999999993,0,0.04494665749754955,100
balanced,rare,1000,7.75,0.5,0,0,0.1,RAHC_random_ref,0.019444444444444445,0.03625,0.0451231842662282,100
